Ancienne nomenclature;Nouvelle nomenclature
5ème circonvolution temporale / Circonvolution de l'hippocampe;Gyrus parahippocampal
Adducteur Du Gros Orteil;Abducteur De L'hallux
Aileron Rotulien Externe;Rétinaculum Patellaire Latéral
Aileron Rotulien Interne;Rétinaculum Patellaire Médial
Aire de Broca;Aire motrice du langage
Ampoule de Vater;Ampoule hépato-pancréatique
Amygdale;Tonsille
Amygdale du cervelet;Tonsille cérébelleuse
Amygdale palatine;Tonsille palatine
Angle de His;Incisure cardiale
Anneau de Waldeyer;Anneau lymphoïde du pharynx
Anneau de Zinn;Anneau tendineux commun
Anse de Galien;Rameau communiquant avec le nerf laryngé inférieur
Anse de Henle;Anse du néphron
Anse de l'hypoglosse;Anse cervicale
Antéhypophyse;Adénohypophyse
Antre gastrique;Antre pylorique
Aorte thoracique descendante;Aorte thoracique
Aponévrose;Fascia
Aponévrose de Denonvilliers;Fascia recto-prostatique
Aponévrose du cou;Fascia cervical
Aponévrose moyenne du périnée / Ligament de Carcassonne;Membrane périnéale
Apophyse;Processus
Apophyse Coronoïde (cubitus);Processus Coronoïde (ulna)
Apophyse Externe (astragale);Processus Latéral (talus)
Apophyse Styloïde (cubitus);Processus Styloïde (ulna)
Apophyse Styloïde (radius);Processus Styloïde (radius)
Apophyse Unciforme De L'os Crochu (carpe);Os Hamalus De L'hamatum
Appendice vermiculaire;Appendice vermiforme
Aqueduc de Sylvius;Aqueduc du mésencéphale
Arcade Crurale;Ligament Inguinal
Arcade de Douglas;Ligne arquée
Arcade du carré des lombes;Ligament arqué latéral
Arcade du psoas;Ligament arqué médial
Archéocérébellum / Archéocervelet;Archicérébellum
Aréoles caverneuse;Cavernes des corps caverneux
Arrière-cavité des épiploons;Bourse omentale
Arrière-cavité des fosses nasales;Partie nasale du pharynx
Artère carotide primitive;Artère carotide commune
Artère coronaire stomachique;Artère gastrique gauche
Artère cubitale;Artère ulnaire
Artère d'Adamkiewicz;Artère de l'intumescence lombale
Artère fémorale profonde;Artère profonde de la cuisse
Artère fessière supérieure;Artère glutéale supérieure
